I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE
2815,,1907,8,16,13,,    ,13,6.2,,,,,,6.2,10,ALBANIA,,ALBANIA,41.1,20.1
2816,,1907,9,2,16,1,,,7.8,,7.8,7.3,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,52.59,-169.73
8053,Tsu,1907,9,24,12,59,,,5.5,,5.5,,,,,5,USA,AK,ALASKA:  SKAGWAY,59.5,-135.5
2819,,1907,10,16,14,57,    ,60,7.7,,,,,,7.7,,MEXICO,,MEXICO:  GULF OF CALIFORNIA,28,-112.5
2821,,1907,10,21,4,23,36,35,7.4,,7.4,,,,,9,TAJIKISTAN,,TAJIKISTAN:   KARATAG,38.5,67.9
2827,Tsu,1907,10,23,20,28,19,33,5.9,,5.9,,,,,10,ITALY,,ITALY:  FERRUZANO,38.133,16.017
6249,Tsu,1907,12,15,17,35,,33,7.4,,7.4,,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  BISMARCK SEA,-3.1,142.5
6250,Tsu,1908,2,6,,,,130,7.5,,7.5,,,,,,INDONESIA,,SW. SUMATRA,-2,100
6251,Tsu,1908,2,14,11,25,,,6,,6,,,,,,USA,AK,ALASKA:  GULF OF ALASKA,61,-146.2
2832,,1908,3,5,2,16,,,7.5,,7.5,,,,,,PHILIPPINES,,PHILIPPINES:  MINDANAO,9,126
7527,Tsu,1908,3,23,12,20,,,6.6,,6.6,,,,,,INDONESIA,,INDONESIA:  TIMOR,-10,129
2833,,1908,3,26,23,3,30,80,8.1,,8.1,,,,,,MEXICO,,MEXICO:  GUERRERO,18,-99
2835,,1908,3,27,3,45,30,,7.5,,7.5,,,,,,MEXICO,,MEXICO:  GUERRERO,17,-101
2836,,1908,5,5,6,16,,,7.5,,7.5,,,,,,INDONESIA,,INDONESIA:  CELEBES SEA,3,123
