YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV
1930,12,23,21,35,36,PAPUA NEW GUINEA,,BISMARCK SEA,-1.3,144.3,12,,3.4,1.5
1930,12,29,8,26,24,CHILE,,NORTHERN CHILE,-28.5,-71,1,,,0.5
1931,2,13,1,27,16,NEW ZEALAND,,N. NEW ZEALAND,-39.5,177,0.1,,,0
1931,3,9,3,49,0,JAPAN,,SANRIKU,41.2,142.5,0.4,,-1.3,-1
1931,8,19,,,,USA,NJ,"ATLANTIC CITY, NJ",39.35,-74.417,3,,,
1931,9,25,5,59,44,INDONESIA,,SW. SUMATRA,-5,102.75,1,,4.9,
1931,10,3,19,13,20.8,SOLOMON ISLANDS,,SAN CRISTOBAL ISLAND,-10.932,161.016,9,,3.3,2.5
1931,11,2,10,2,,JAPAN,,SEIKAIDO,32.2,132.1,0.8,,-0.3,
1932,6,3,10,36,50,MEXICO,,CENTRAL MEXICO,19.5,-104.25,10,,1.5,2
1932,6,18,10,12,16.1,MEXICO,,CENTRAL MEXICO,19.452,-103.632,1,,1,0.5
1932,6,22,12,59,24,MEXICO,,CENTRAL MEXICO,19,-104.5,10,,3.3,1.5
1932,9,26,19,20,42,GREECE,,NORTH AEGEAN,40.5,23.9,2,,,3
1933,1,8,16,,,RUSSIA,,"KHARIMKOTAN, N. KURIL ISLANDS",49.12,154.508,9,,3.2,2
1933,3,2,17,31,0.9,JAPAN,,SANRIKU,39.224,144.622,29,,4.9,3.5
1933,3,11,1,54,7.8,USA,CA,S. CALIFORNIA,33.616,-117.966,0.1,,-3.3,-3
1933,6,18,21,37,0,JAPAN,,SANRIKU,38.1,142.4,0.2,,-2.3,
1934,4,7,3,,,NORWAY,,TAFJORD,62.228,7.417,64,,,
1934,7,18,19,40,24,SOLOMON ISLANDS,,SOLOMON ISLANDS,-11.907,166.731,0.65,,-0.7,
1934,8,21,,,,USA,CA,S. CALIFORNIA,33.7,-118.2,12,,,3
1934,11,30,2,5,10,MEXICO,,MEXICO,18.5,-105.5,0.11,,,
1935,7,19,0,50,0,JAPAN,,JAPAN,36.6,141.4,0.2,,-2.3,
1935,10,12,16,45,0,JAPAN,,SANRIKU,39.9,143.7,0.3,,-1.7,-1
1935,10,18,0,11,0,JAPAN,,SANRIKU,40.7,144.3,0.2,,-2.3,-2
1936,4,1,2,9,15,INDONESIA,,SULAWESI,4.5,126.5,3,,1.5,2
1936,7,13,11,12,15,CHILE,,NORTHERN CHILE,-24.5,-70,1,,,0.5
1936,9,13,,,,NORWAY,,LOEN,61.87,6.851,74,,,
1936,10,27,15,50,0,USA,AK,"LITUYA BAY, AK",58.6,-137.1,149.35,,5.6,4
1936,11,2,20,46,0,JAPAN,,SANRIKU,38.2,142.2,0.7,,-0.5,
1936,11,13,12,31,,RUSSIA,,KAMCHATKA,55.2,164,13,,3.7,2
1937,5,29,,,,PAPUA NEW GUINEA,,RABAUL,-4.271,152.203,2.5,,1.3,1.5
1937,11,6,,,,INDONESIA,,BANDA SEA,-3,132.3,0.5,,-1,
1938,2,1,19,4,18,INDONESIA,,BANDA SEA,-5.25,130.5,1,,1,1.5
1938,2,13,,,,INDONESIA,,BANDA SEA,-3,132.3,0.5,,,-0.5
1938,3,6,1,56,,PAPUA NEW GUINEA,,SOLOMON SEA,-5.1,153.1,0.03,,-3.3,
1938,5,19,17,8,21,INDONESIA,,MAKASSAR STRAIT,-1,120,3,,1.6,
1938,5,23,7,18,,JAPAN,,JAPAN TRENCH,36.7,141.4,0.83,,-0.3,
1938,5,28,16,42,,JAPAN,,E. HOKKAIDO ISLAND,43.6,144.3,0.9,,-0.1,
1938,6,10,9,53,44.6,JAPAN,,RYUKYU ISLANDS,25.321,125.115,1.5,,0.6,0
1938,11,5,8,43,21,JAPAN,,SANRIKU,37.1,141.7,0.57,,0.1,-0.5
1938,11,5,10,50,15,JAPAN,,SANRIKU,37.2,141.7,0.56,,0.1,-0.5
1938,11,6,8,53,53,JAPAN,,OFF FUKUSHIMA PREFECTURE,37.5,141.8,1.26,,0.4,-0.5
1938,11,6,21,38,47,JAPAN,,OFF FUKUSHIMA PREFECTURE,37,141.7,1.25,,0.3,-0.5
1938,11,10,20,18,41.2,USA,AK,"SHUMAGIN ISLANDS, AK",55.48,-158.37,0.3,,-1.7,
1938,11,13,22,31,,JAPAN,,SANRIKU,37,141.5,0.75,,-0.5,-1.5
1938,11,22,1,14,0,JAPAN,,SANRIKU,36.7,142.1,0.3,,-1.7,-2.5
1938,11,30,2,29,0,JAPAN,,SANRIKU,37,142.2,0.2,,-2.3,-3
1939,3,20,3,22,,JAPAN,,SEIKAIDO,32.3,132,0.8,,-0.3,0
1939,4,30,2,55,29.1,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.295,159.234,10.5,,3.4,1.5
1939,5,1,5,58,,JAPAN,,NW. HONSHU ISLAND,40.1,139.5,1.2,,-1.7,0
1939,12,26,23,57,22.6,TURKEY,,SOUTH BLACK SEA,39.77,39.533,0.53,,,4
1940,5,24,16,33,57,PERU,,CENTRAL PERU,-10.5,-77,2,,1,1.5
1940,8,1,15,8,24,JAPAN,,W. HOKKAIDO ISLAND,44.2,139.5,3.5,,1.8,1.5
1941,1,13,16,27,44.7,PAPUA NEW GUINEA,,BISMARCK SEA,-4.175,152.071,0.15,,-3.3,-2.5
1941,6,26,11,52,,INDIA,,"ANDAMAN SEA, E. COAST INDIA",12.5,92.5,1.5,,,
1941,11,18,16,46,,JAPAN,,SEIKAIDO,32,132.1,1.2,,0.3,0
1941,11,25,18,3,54,ATLANTIC OCEAN,,AZORES GIBRALTAR FRACTURE ZONE,37.417,-18.983,0.1,,,2
1941,12,5,20,46,58,COSTA RICA,,COSTA RICA-PANAMA,8.7,-83.2,0.23,,-3.3,-3
1941,12,6,21,24,40,COSTA RICA,,COSTA RICA-PANAMA,8.5,-84,0.1,,-3.3,-4
1942,5,22,10,30,36,COLOMBIA,,COLOMBIA,4.6,-74.5,1,,,1
1942,8,24,22,50,27,PERU,,S. PERU,-15,-76,2,,1,1
1943,4,6,16,7,15,CHILE,,CENTRAL CHILE,-30.75,-72,1,,,
1943,6,13,5,12,0,JAPAN,,SE. HOKKAIDO ISLAND,41.2,143.3,0.6,,-0.7,-0.5
1944,12,7,4,35,,JAPAN,,OFF SOUTHEAST COAST KII PENINSULA,34,137.1,10,,2.9,2.5
1945,1,12,18,38,,JAPAN,,TOKAIDO,34.7,137.2,1,,-0.7,-0.5
1945,2,10,4,57,0,JAPAN,,SANRIKU,40.9,142.1,0.4,,-1.3,-1.5
1945,11,27,21,56,50,PAKISTAN,,MAKRAN COAST,24.5,63,17,,3.9,
1946,4,1,12,29,1.3,USA,AK,"UNIMAK ISLAND, AK",53.492,-162.832,42,,5.1,4
1946,6,23,17,13,19,CANADA,BC,BRITISH COLUMBIA,49.87,-124.92,9,,4.9,2
1946,8,4,17,51,5,DOMINICAN REPUBLIC,,NORTHEASTERN COAST,19.25,-69,5,,2.2,
1946,8,8,13,28,33.8,DOMINICAN REPUBLIC,,NORTHEASTERN COAST,19.5,-69.5,0.6,,,
1946,12,20,19,19,5,JAPAN,,HONSHU: S COAST,33,135.6,6.6,,2.7,2.5
1947,3,25,20,32,15,NEW ZEALAND,,OFF COAST OF NORTH ISLAND,-38.85,178.87,10,,3.3,3
1947,5,17,7,6,0,NEW ZEALAND,,OFF COAST OF NORTH ISLAND,-38.42,178.88,6,,2.6,
1947,10,6,19,55,37,GREECE,,"PELOPONNESUS, GREECE",37,22,1,,,2
1947,11,4,0,9,10,JAPAN,,W. HOKKAIDO ISLAND,43.8,141,2,,1,1
1948,2,9,12,58,13,GREECE,,"DODECANESE, KARPATHOS IS.",35.5,27.2,2.5,,,4
1948,4,17,16,11,0,JAPAN,,TOKAIDO,33.1,135.6,0.6,,-0.7,-1
1948,4,22,10,42,47.1,GREECE,,IONIAN SEA,38.532,20.427,1,,,4
1948,9,8,15,9,0,TONGA,,TONGA TRENCH,-21,-174,2,,1,1.5
1948,12,3,0,22,48,MEXICO,,MEXICO,22,-106,5,,1,1.5
1949,7,23,15,3,30,GREECE,,"CHIOS ISLAND, AEGEAN ISLANDS",38.58,26.23,2,,,2
1949,8,22,4,1,0,CANADA,BC,BRITISH COLUMBIA,53.6,-133.3,0.61,,-1,
1949,9,5,2,54,1,PHILIPPINES,,NORTHERN LUZON ISLAND,17,121.5,0.1,,,-4
1949,10,19,21,0,19,PAPUA NEW GUINEA,,SOLOMON SEA,-5.5,154,0.3,,-1.7,-1
1949,12,17,6,53,30,CHILE,,SOUTHERN CHILE,-54,-71,0.7,,,
1949,12,17,15,7,55,CHILE,,SOUTHERN CHILE,-54,-71,0.7,,-0.5,
1950,8,15,14,9,30,INDIA,,INDIA-CHINA,28.5,96.5,0.5,,,
1950,10,5,16,9,31,COSTA RICA,,COSTA RICA-NICARAGUA,11,-85,0.1,,-3.3,-2
1950,10,23,16,13,20,GUATEMALA,,GUATEMALA,14.31,-91.917,0.2,,-1.3,-1
1950,12,10,2,50,42,PERU,,S. PERU,-14.25,-77.75,0.7,,-0.5,0
