YEAR,MONTH,DAY,TSU,EQ,NAME,LOCATION,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,TYPE,STATUS,VEI
1912,12,3,,,Nyamuragira,Africa-C,"Congo, DRC",-1.408,29.2,3058,Shield volcano,Historical,3
1913,3,14,TSU,EQ,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.5,1320,Stratovolcano,Historical,2
1913,6,23,,,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,Historical,2
1913,12,6,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,Historical,3
1914,1,12,TSU,EQ,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,Historical,4
1914,1,18,,,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,Historical,3
1916,3,3,,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,4
1916,7,3,TSU,,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,Historical,3
1917,1,1,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.751,35.902,2890,Stratovolcano,Historical,3
1917,4,1,,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,Historical,1
1917,4,,,,Calbuco,Chile-S,Chile,-41.326,-72.614,2003,Stratovolcano,Historical,3
1917,6,7,,EQ,San Salvador,El Salvador,El Salvador,13.736,-89.286,1893,Stratovolcano,Historical,3
1918,7,18,TSU,,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.138,125.491,-5,Submarine volcano,Historical,3
1918,10,12,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,4
1919,2,19,,,Popocatepetl,Mexico,Mexico,19.023,-98.622,5426,Stratovolcano,Historical,1
1919,5,19,,,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,Historical,4
1919,5,22,TSU,,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,Historical,3
1919,9,29,TSU,,Mauna Loa,Hawaiian Is,United States,19.475,-155.608,4170,Shield volcano,Historical,0
1920,7,25,,,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical,3
1920,10,29,,,Izalco,El Salvador,El Salvador,13.813,-89.633,1950,Stratovolcano,Historical,3
1923,3,11,,,Papandayan,Java,Indonesia,-7.32,107.73,2665,Stratovolcano,Historical,1
1923,7,1,,,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,Historical,2
1924,5,10,,,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical,2
1926,5,24,,,Tokachi,Hokkaido-Japan,Japan,43.42,142.68,2077,Stratovolcano,Historical,3
1927,9,5,,,Esjufjoll,Iceland-SE,Iceland,64.27,-16.65,1760,Stratovolcano,Historical,1
1928,1,23,,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,Historical,2
1928,1,,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,Historical,3
1928,5,13,,,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,Historical,2
1928,8,4,TSU,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,Historical,3
1928,11,2,,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,Historical,1
1929,1,6,,,Calbuco,Chile-S,Chile,-41.326,-72.614,2003,Stratovolcano,Historical,3
1929,6,17,,,Komaga-take,Hokkaido-Japan,Japan,42.07,140.68,1140,Stratovolcano,Historical,4
1929,8,2,,,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,Historical,2
1929,11,,,,Santa Maria,Guatemala,Guatemala,14.756,-91.552,3772,Stratovolcano,Historical,3
1930,3,17,TSU,,Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,Historical,2
1930,8,20,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,Historical,3
1930,9,11,TSU,,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,Historical,3
1930,11,25,,,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical,3
1931,8,20,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,Historical,3
1932,1,21,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical,4
1932,10,1,,,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176,Stratovolcano,Historical,3
1933,1,8,TSU,EQ,Kharimkotan,Kuril Is,Russia,49.12,154.508,1145,Stratovolcano,Historical,3
1933,12,24,,,Kuchinoerabu-jima,Ryukyu Is,Japan,30.43,130.22,649,Stratovolcano,Historical,4
1933,12,25,TSU,,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,1565,Stratovolcano,Historical,2
1936,2,,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,Historical,3
1937,2,9,,,Llaima,Chile-C,Chile,-38.692,-71.729,3125,Stratovolcano,Historical,2
1937,5,29,TSU,EQ,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,Historical,4
1938,1,28,TSU,,Nyamuragira,Africa-C,"Congo, DRC",-1.408,29.2,3058,Shield volcano,Historical,1
1938,6,5,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,Historical,2
1939,8,17,,,Tori-shima,Izu Is-Japan,Japan,30.48,140.32,403,Stratovolcano,Historical,2
