time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-03-06T15:08:56.540Z,23.2016,123.3511,10.18,4.7,mb,,112,1.297,0.68,us,us10004vnm,2016-03-06T23:11:25.661Z,"144km SSE of Yonakuni, Japan",earthquake,7.1,3.8,0.055,101,reviewed,us,us
2016-03-06T13:19:09.200Z,56.2868,-162.0165,199.17,4.8,mb,,40,1.28,1.37,us,us10004vnc,2016-03-10T02:57:09.355Z,"130km NNE of Cold Bay, Alaska",earthquake,6.8,6.3,0.034,272,reviewed,us,us
2016-03-06T13:06:16.960Z,-14.8822,-76.0177,9.54,4.6,mb,,146,2.987,0.79,us,us10004vna,2016-03-06T21:08:56.276Z,"83km SSW of Santiago, Peru",earthquake,7.1,4.3,0.082,45,reviewed,us,us
2016-03-06T12:01:13.610Z,16.9401,122.8581,35.71,4.6,mb,,125,6.584,0.74,us,us10004vn3,2016-03-06T20:03:48.827Z,"49km ESE of Dicabisagan, Philippines",earthquake,5.9,8.4,0.114,23,reviewed,us,us
2016-03-06T07:02:30.260Z,28.6123,142.9789,10,5.1,mb,,106,1.666,0.75,us,us10004vm0,2016-03-06T15:05:05.863Z,"185km NNE of Chichi-shima, Japan",earthquake,7.9,1.8,0.063,81,reviewed,us,us
2016-03-06T00:54:47.390Z,-1.3891,-80.3287,55.63,5.1,mb,,103,2.477,0.93,us,us10004vl0,2016-03-06T17:03:52.894Z,"17km SE of Sucre, Ecuador",earthquake,8.5,4.9,0.028,423,reviewed,us,us
2016-03-06T00:05:02.880Z,17.8828,40.3718,10,4.5,mb,,128,7.385,0.81,us,us10004vkr,2016-03-06T08:07:33.800Z,"156km SSW of Al Qunfidhah, Saudi Arabia",earthquake,10.5,1.9,0.088,38,reviewed,us,us
2016-03-05T22:01:49.410Z,15.4834,-93.7167,80.21,5,mb,,131,1.715,1.04,us,us10004vk5,2016-03-06T06:04:33.792Z,"46km SSW of Tres Picos, Mexico",earthquake,7.6,6.2,0.031,330,reviewed,us,us
2016-03-05T18:45:30.050Z,-32.9191,-178.2,10,5.5,mb,,48,3.669,1.31,us,us10004uy6,2016-03-08T19:53:28.784Z,"177km SSE of L'Esperance Rock, New Zealand",earthquake,9.5,1.7,0.047,159,reviewed,us,us
2016-03-05T18:38:32.920Z,49.6534,-129.3038,18.76,4.7,mb,,166,4.148,1.21,us,us10004uxx,2016-03-08T19:04:48.380Z,"177km SW of Port Hardy, Canada",earthquake,10.1,5.5,0.054,105,reviewed,us,us
2016-03-05T18:34:06.320Z,15.0037,122.4605,47.23,4.6,mb,,65,7.881,1.23,us,us10004uxw,2016-03-08T18:22:33.185Z,"33km NNE of Jomalig, Philippines",earthquake,8.7,7.2,0.069,63,reviewed,us,us
2016-03-05T17:31:50.310Z,-20.7348,-69.7599,38.29,4.6,mb,,64,0.377,1.31,us,us10004uxf,2016-03-08T16:37:01.737Z,"69km SE of Iquique, Chile",earthquake,3.1,6.2,0.105,30,reviewed,us,us
2016-03-05T17:28:49.150Z,-20.3078,-173.2976,10,5,mb,,75,6.526,0.87,us,us10004uxd,2016-03-08T17:04:09.570Z,"123km ESE of Pangai, Tonga",earthquake,4.6,1.8,0.055,106,reviewed,us,us
2016-03-05T15:43:07.910Z,15.0807,122.7133,47.11,4.8,mb,,89,7.849,0.71,us,us10004ux5,2016-03-05T16:17:42.078Z,"55km NE of Jomalig, Philippines",earthquake,9.9,7.1,0.063,78,reviewed,us,us
2016-03-05T15:11:56.030Z,-6.6532,102.4708,10,4.9,mb,,95,2.328,0.65,us,us10004ux3,2016-03-05T23:14:24.474Z,"226km SW of Biha, Indonesia",earthquake,8.1,1.9,0.088,41,reviewed,us,us
2016-03-05T02:41:24.500Z,-4.473,94.4073,14.3,4.8,mb,,148,6.553,0.6,us,us10004uvv,2016-03-05T10:43:55.296Z,"Southwest of Sumatra, Indonesia",earthquake,9.6,5,0.091,37,reviewed,us,us
2016-03-05T00:33:23.350Z,41.6745,144.1459,24.2,5.1,mb,,73,0.813,0.65,us,us10004uv6,2016-03-05T08:36:06.355Z,"145km S of Kushiro, Japan",earthquake,7.3,4.3,0.028,418,reviewed,us,us
2016-03-04T20:20:54.130Z,-4.1862,94.415,9,5.1,mb,,39,6.302,0.82,us,us10004uta,2016-03-06T18:04:09.040Z,"Southwest of Sumatra, Indonesia",earthquake,8.5,3.1,0.051,127,reviewed,us,us
2016-03-04T18:58:31.650Z,-20.6628,-71.0569,27.18,4.5,mwr,,134,0.86,1.35,us,us10004usk,2016-03-05T17:20:13.159Z,"107km WSW of Iquique, Chile",earthquake,4.9,4.8,0.05,38,reviewed,us,us
2016-03-04T18:54:26.640Z,-48.9962,106.3216,10,4.8,mb,,80,31.471,0.73,us,us10004usm,2016-03-05T17:04:22.266Z,"Southeast Indian Ridge",earthquake,8.5,1.8,0.115,25,reviewed,us,us
2016-03-04T16:44:01.780Z,-32.6918,-178.3106,35,4.8,mb,,91,3.451,0.61,us,us10004uqd,2016-03-05T00:46:27.609Z,"150km SSE of L'Esperance Rock, New Zealand",earthquake,6.7,2,0.131,18,reviewed,us,us
