I_D	TSEVENT_ID	YEAR	MONTH	DAY	DOUBTFUL	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DISTANCE_FROM_SOURCE	TRAVEL_TIME_HOURS	TRAVEL_TIME_MINUTES	WATER_HT	HORIZONTAL_INUNDATION	TYPE_MEASUREMENT_ID	PERIOD	FIRST_MOTION	DEATHS	DEATHS_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION
9667	2439	2004	12	26		MYANMAR (BURMA)		LAYYIN KWIN (AIRFIELD) VILLAGE	15.79	94.806	60	1392			.6		5			1	1				1			16	1
9668	2439	2004	12	26		MYANMAR (BURMA)		KAPYET THAUNG VILLAGE	15.806	94.739	60	1395			2		5			17	1				1			130	1
9669	2439	2004	12	26		MYANMAR (BURMA)		THIT POKE VILLAGE	15.783	94.978	60	1390			1.7		5									2	1		
9670	2439	2004	12	26		MYANMAR (BURMA)		KAING THAUNG ISLAND, PAGODA	15.734	95.064	60	1384			1.9		5												
9671	2439	2004	12	26		MYANMAR (BURMA)		KAING THAUNG ISLAND VILLAGE	15.733	95.063	60	1384			2.3		5			8	1					16	1		
9672	2439	2004	12	26		MYANMAR (BURMA)		AUNG HLAING VILLAGE	15.772	94.984	60	1389			1.5		5									55	2		
9508	2439	2004	12	26		ANTARCTICA		DUMONT D'URVILLE STATION (FRANCE)	-66.63	140.01	81	8525	12	49	.16		2		R										
9562	2439	2004	12	26		MALAYSIA		KUALA TRIANG	6.361	99.709	60	545				500	4												
9563	2439	2004	12	26		MALAYSIA		KUALA TRIANG	6.351	99.721	60	546				900	4												
9409	2439	2004	12	26		INDONESIA	ACEH	LHOONG, NW. COAST OF SUMATRA	5.315	95.24	60	233			25.2		5												
9410	2439	2004	12	26		INDONESIA	ACEH	LHOONG, NW. COAST OF SUMATRA	5.283	95.247	60	229			25.5		5												
9411	2439	2004	12	26		INDONESIA	ACEH	LABUHAN, NW COAST OF SUMATRA	5.433	95.236	60	245			26.1		5												
9412	2439	2004	12	26		INDONESIA	ACEH	LHOK NGA, NW. COAST OF SUMATRA	5.461	95.245	60	248			28.2		5												
9413	2439	2004	12	26		INDONESIA	ACEH	LHOONG, NW. COAST OF SUMATRA	5.354	95.243	60	237			29.6		5												
9414	2439	2004	12	26		INDONESIA	ACEH	LHOK NGA, NW. COAST OF SUMATRA	5.451	95.243	60	247			29.7		5												
9415	2439	2004	12	26		INDONESIA	ACEH	LHOK NGA, NW. COAST OF SUMATRA	5.456	95.246	60	247			35.7		5												
9416	2439	2004	12	26		INDONESIA	ACEH	LABUHAN, NW. COAST OF SUMATRA	5.429	95.234	60	245			50.9		5												
9417	2439	2004	12	26		INDONESIA	ACEH	EAST BANDA ACEH, SUMATRA	5.647	95.414	60	264			8.2		5												
9544	2439	2004	12	26		MALAYSIA		SUNGAI BATU, PENANG IS.	5.28	100.239	60	533			1.8	60	4										1		
9545	2439	2004	12	26		MALAYSIA		SUNGAI BATU, PENANG IS.	5.283	100.236	60	533			1.6	90	4										1		
9546	2439	2004	12	26		MALAYSIA		PASIR PANJANG, PENANG IS.	5.295	100.183	60	528			2	70	4			27	1								
9547	2439	2004	12	26		MALAYSIA		MUARA SUNGAI PULAU BETONG, PENANG	5.306	100.192	60	530			2.7	100	5												
9345	2439	2004	12	26		SRI LANKA		COLOMBO	6.93	79.83	60	1820	2	50	1.5		2		R										
9717	2439	2004	12	26		MALDIVES		NORTH MALE ATOLL, HUHULE IS.	4.195	73.526	60	2480			2	20	4												
9718	2439	2004	12	26		MALDIVES		NORTH MALE ATOLL, MALE IS.	4.172	73.502	60	2483			2.4	30	4												
9719	2439	2004	12	26		MALDIVES		NORTH MALE ATOLL, MALE IS.	4.169	73.506	60	2482			1.8	40	4												
9720	2439	2004	12	26		MALDIVES		NORTH MALE ATOLL, MALE IS.	4.17	73.513	60	2481			1.6	15	4												
9721	2439	2004	12	26		MALDIVES		NORTH MALE ATOLL, MALE IS.	4.17	73.517	60	2481			1.7	10	4												
9722	2439	2004	12	26		MALDIVES		NORTH MALE ATOLL, MALE IS.	4.174	73.518	60	2481			2.2	20	4												
9723	2439	2004	12	26		MALDIVES		NORTH MALE ATOLL, MALE IS.	4.179	73.514	60	2481			1.3	70	4												
9724	2439	2004	12	26		MALDIVES		NORTH MALE ATOLL, MALE IS.	4.179	73.513	60	2481			1.4	10	4												
9725	2439	2004	12	26		MALDIVES		NORTH MALE ATOLL, MALE IS.	4.18	73.51	60	2482			1.7	10	4												
9726	2439	2004	12	26		MALDIVES		SOUTH MALE ATOLL, ENBOODHOO FINOLHU	4.103	73.525	60	2480			1.7	50	4												
9727	2439	2004	12	26		MALDIVES		SOUTH MALE ATOLL, ENBOODHOO FINOLHU	4.103	73.525	60	2480			2.8	0	4												
9729	2439	2004	12	26		MALDIVES		LAAMU ATOLL, FONADHOO IS.	1.824	73.495	60	2490			3	30	4												
